id,uuid,name,status,address,uap_lap,vendor,appearance,company,company_type,lmp_version,manufacturer,firmware,ibeacon_range,created_at,updated_at,last_seen
73,653b54a3-1288-470b-91d4-d72447f92eb5,,offline,B0:34:95:51:D7:22,95:51:D7:22,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:25:33-04:00,2016-10-12T08:28:34-04:00,1476275132
74,f37a5582-624f-4254-bc28-770b28720916,,offline,B8:78:2E:4A:2B:C3,2E:4A:2B:C3,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:25:37-04:00,2016-10-12T08:28:34-04:00,1476275133
75,d173be79-8562-43c0-a670-3cd2f3da4b40,,offline,00:1E:AE:23:AE:4D,AE:23:AE:4D,"Continental Automotive Systems",,,,,,,,2016-10-12T08:26:12-04:00,2016-10-12T08:41:12-04:00,1476275170
76,671fea74-486b-4a79-85ec-08faad55381c,"BLU Logic 1111",offline,00:0D:18:A0:8C:9C,18:A0:8C:9C,"Mega-Trend Electronics CO., LTD.",,,,,,,,2016-10-12T08:26:16-04:00,2016-10-12T08:41:14-04:00,1476275172
77,b5fee519-a130-4a3d-b7f5-d61c07748daf,,offline,5A:E0:F4:BD:CF:28,F4:BD:CF:28,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (12)",,,,,2016-10-12T08:26:18-04:00,2016-10-12T08:29:17-04:00,1476275176
78,6038972d-8426-4ad2-9e26-373b471efb2a,Zus,offline,13:37:A2:30:1F:92,A2:30:1F:92,Unknown,"Tag (0x0200)","not assigned (32000)",,,,,,2016-10-12T08:26:38-04:00,2016-10-12T08:29:33-04:00,1476275191
79,710bce4d-28be-4a33-a371-2c3cbe30afc2,,offline,78:BD:BC:2D:86:82,BC:2D:86:82,"Samsung Electronics Co.,Ltd",,"Samsung Electronics Co. Ltd. (117)",,,,,,2016-10-12T08:27:40-04:00,2016-10-12T08:30:39-04:00,1476275258
80,070bf465-8bf8-47a4-830e-69ff45daa313,,online,10:C6:FC:01:53:C4,FC:01:53:C4,"Garmin International",,,,,,,,2016-10-12T08:27:52-04:00,2016-10-12T08:27:52-04:00,1476275271
81,b4c3687e-104f-4d23-bbc6-a081734f3565,,offline,70:24:D5:94:86:90,D5:94:86:90,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:28:42-04:00,2016-10-12T08:31:42-04:00,1476275320
82,85d9890b-f01a-4e48-815e-5e0a64bdf488,KDC-BT3**U,online,00:1D:86:50:F8:D1,86:50:F8:D1,"Shinwa Industries(China) Ltd.",,,,,,,,2016-10-12T08:29:22-04:00,2016-10-12T08:29:22-04:00,1476275359
83,794a5899-ea69-4dc3-aea9-56384f91e506,,online,00:1E:B2:1E:0D:BB,B2:1E:0D:BB,"LG innotek",,,,,,,,2016-10-12T08:29:25-04:00,2016-10-12T08:29:25-04:00,1476275364
84,36b4bf80-f9c4-46a3-bdad-4f41af80628b,,offline,4F:7C:95:CE:5F:FB,95:CE:5F:FB,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (12)",,,,,2016-10-12T08:29:25-04:00,2016-10-12T08:32:25-04:00,1476275364
85,51b68de9-1fbb-4a5c-b97f-a2bd921ed1cd,,offline,6D:56:9F:07:BD:BF,9F:07:BD:BF,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (12)",,,,,2016-10-12T08:29:26-04:00,2016-10-12T08:32:26-04:00,1476275365
86,532b1680-ba44-4bd5-b00b-60824bfcc929,,offline,53:DA:34:6E:40:F8,34:6E:40:F8,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (12)",,,,,2016-10-12T08:29:29-04:00,2016-10-12T08:32:29-04:00,1476275368
87,1f734747-0a9e-4209-851a-d7db651671b5,"BT_nuvi #3929831759",online,14:8F:21:A0:0A:0B,21:A0:0A:0B,"Garmin International",,,,,,,,2016-10-12T08:30:25-04:00,2016-10-12T08:32:06-04:00,1476275518
88,bf5adeca-0794-4db6-8645-be66c8659c0e,,online,00:26:7E:35:F1:07,7E:35:F1:07,"PARROT SA",,,,,,,,2016-10-12T08:30:28-04:00,2016-10-12T08:30:28-04:00,1476275426
89,e532fcd5-997f-41e1-9bfa-dac686ac0bd0,,offline,5D:F5:3E:24:88:DD,3E:24:88:DD,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:30:28-04:00,2016-10-12T08:33:28-04:00,1476275427
90,a1bb110d-37ef-44ad-aef3-ef100e1d6889,,offline,7E:E3:79:EC:CF:B3,79:EC:CF:B3,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (12)",,,,,2016-10-12T08:30:32-04:00,2016-10-12T08:33:31-04:00,1476275430
91,0ba60204-4d36-4a84-8dc1-f3da57b06996,,offline,57:04:C9:5D:4E:65,C9:5D:4E:65,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (12)",,,,,2016-10-12T08:30:32-04:00,2016-10-12T08:33:33-04:00,1476275431
92,a806b7cc-5581-4e9e-a05f-d2e81fb3170f,,offline,5E:EE:3C:2A:A9:4A,3C:2A:A9:4A,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:30:50-04:00,2016-10-12T08:34:58-04:00,1476275517
93,3cf2212a-a419-4914-a770-cc2683e6c4c3,,offline,67:60:3C:BE:B1:A3,3C:BE:B1:A3,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (12)",,,,,2016-10-12T08:35:52-04:00,2016-10-12T08:38:47-04:00,1476275745
94,bfd2a755-f04c-413f-bae5-3adf21d6e529,,online,24:5F:DF:27:59:61,DF:27:59:61,"KYOCERA Corporation",,,,,,,,2016-10-12T08:35:56-04:00,2016-10-12T08:35:56-04:00,1476275754
95,5c188c24-2774-4c3c-a98f-1eb2681469be,,online,9C:DF:03:5C:FB:4B,03:5C:FB:4B,"Harman/Becker Automotive Systems GmbH",,,,,,,,2016-10-12T08:36:23-04:00,2016-10-12T08:36:23-04:00,1476275777
96,d9c39057-98cf-4cbb-96b9-e960832986b6,,online,00:80:37:25:D3:52,37:25:D3:52,"Ericsson Group",,,,,,,,2016-10-12T08:37:08-04:00,2016-10-12T08:37:08-04:00,1476275825
97,024d1442-b5f1-42a6-8d6b-22cb320dbbaf,,offline,75:07:41:DE:16:AB,41:DE:16:AB,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:38:05-04:00,2016-10-12T08:41:02-04:00,1476275881
98,5df836a8-7337-425f-a6db-69745a9d718c,donZ30,online,48:9D:24:E3:D3:44,24:E3:D3:44,"BlackBerry RTS",,,,,,,,2016-10-12T08:38:06-04:00,2016-10-12T08:38:06-04:00,1476275885
99,a1078bfd-af65-4347-8781-fc98f58ec633,,online,60:45:BD:6E:12:15,BD:6E:12:15,Microsoft,,,,,,,,2016-10-12T08:39:21-04:00,2016-10-12T08:39:21-04:00,1476275944
100,c6ff9b41-b3c1-4fb4-aafd-7664fcddca46,,online,42:5E:59:0A:DE:9A,59:0A:DE:9A,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:39:26-04:00,2016-10-12T08:39:26-04:00,1476275965
101,8b9405ae-9037-4a7d-a887-f2e7c9a93a3b,,online,00:0D:44:F9:D3:6E,44:F9:D3:6E,"Audio BU - Logitech",,"not assigned (3328)",,,,,,2016-10-12T08:39:37-04:00,2016-10-12T08:39:39-04:00,1476275975
